tool,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,n_obs,peak_memory_mb,segments_per_sec
cityseer,shortest_200m,0.0001432397874085,-0.0119682825588526,-0.0740750415760727,0.11,22,22,380.0,169385.4
cityseer,shortest_400m,6.353791600913145e-05,-0.0079710674322283,0.0889693581258868,0.12,22,22,380.0,155816.4
cityseer,shortest_800m,0.0041594569536533,-0.0644938520609006,0.130032138799373,0.12,22,22,380.0,159299.1
cityseer,shortest_1600m,0.0041220090023385,-0.0642028737856691,0.1699542866763735,0.32,22,22,380.0,59308.9
cityseer,shortest_3200m,0.0083396836502002,-0.0913218684116803,0.1243289748169443,0.61,22,22,380.0,31381.5
madina,degree,0.0054774785606132,-0.0740099896001431,0.0549456899534621,1.3,22,22,400.0,14749.0
madina,btw_weighted_100,0.0254651090524086,-0.1595779090363344,-0.2251763015252888,1.64,22,22,420.0,11687.1
madina,btw_weighted_200,0.016073375022114,-0.1267808148818818,-0.1736896262815138,2.87,22,22,420.0,6662.1
madina,btw_weighted_500,0.0177739804632639,-0.1333190926434167,-0.2050327346156783,6.66,22,22,420.0,2869.7
sfnetworks,edge_betweenness,0.465563,0.682322,0.346132,5.02,22,22,450.0,3808.4
madina_worldpop,wp_r800_beta002_all,0.2237411131475737,0.4730128044224315,0.4952004517221909,11.17,22,22,310.0,1711.9
madina_worldpop,wp_r1200_beta002_all,0.6145747948084058,0.783948209264111,0.3664596273291925,16.19,22,22,310.0,1180.9
madina_worldpop,wp_r1600_beta002_all,0.6471349691616332,0.804446995868363,0.3043478260869565,22.14,22,22,310.0,863.3
madina_worldpop,wp_r2000_beta002_all,0.6762872739831555,0.8223668731066176,0.3382269904009035,29.47,22,22,310.0,648.7
madina_worldpop,wp_r1200_beta001_all,0.5582942287948529,0.7471908918039973,0.2286843591191417,16.68,22,22,310.0,1145.9
madina_worldpop,wp_r1200_beta004_all,0.2286102714270959,0.478132064838885,0.5290796160361377,16.25,22,22,310.0,1176.2
madina_worldpop,wp_r1200_beta002_closest,0.0629350441571196,0.2508685794537045,0.2106791492632454,12.44,22,22,310.0,1536.2
madina_worldpop,wp_r1200_beta002_all_nodecay,0.5660078041130382,0.7523349015651462,0.1970638057594579,16.19,22,22,310.0,1180.7
madina_worldpop,wp_r1200_beta002_all_pedcost,0.5614579371153485,0.7493049693651767,0.0412312922400407,28.06,22,22,310.0,681.4
madina_worldpop,wp_r1600_beta002_all_pedcost,0.5709120078738217,0.7555871940906764,-0.0468794144647038,36.32,22,22,310.0,526.3
cityseer_demand,cs_demand_r800_beta002_all,0.3831182271020506,0.6189654490373845,0.4511575381140599,0.057,22,22,420.0,336216.8
cityseer_demand,cs_demand_r1200_beta002_all,0.37966178216352714,0.6161670083374529,0.24223602484472054,0.066,22,22,420.0,289394.9
cityseer_demand,cs_demand_r1600_beta002_all,0.35050061628359824,0.592030925107463,0.2399774138904574,0.076,22,22,420.0,250227.7
cityseer_demand,cs_demand_r2000_beta002_all,0.38654687560976847,0.6217289406242632,0.25014116318464147,0.088,22,22,420.0,216503.7
cityseer_demand,cs_demand_r1200_beta001_all,0.40160442235903454,0.6337226699109274,0.21174477696216829,0.067,22,22,420.0,286464.0
cityseer_demand,cs_demand_r1200_beta004_all,0.3207047368366248,0.5663079876150651,0.2874082439299831,0.066,22,22,420.0,289597.7
cityseer_demand,cs_demand_r2000_beta001_all,0.4305976694558065,0.6561994128737137,0.24562394127611523,0.086,22,22,420.0,221351.3
cityseer_demand,cs_demand_r2000_beta004_all,0.3031251053146039,0.550567984280419,0.24901185770750994,0.087,22,22,420.0,219145.6
cityseer_demand,cs_demand_r1200_beta002_closest,0.0502599489015052,-0.22418730762803046,-0.1497611493950553,0.066,22,22,420.0,288079.7
cityseer_demand,cs_demand_r2000_beta002_closest,0.0502599489015052,-0.22418730762803046,-0.1497611493950553,0.088,22,22,420.0,218462.6
